,date,varname,value,participant,asset_type,asset_or_liability
0,1945-10-01,Federal government; Treasury securities; liability,254077.0,federal_government,treasury_securities,liability
1,1945-10-01,Federal government; marketable Treasury securities; liability,208239.0,federal_government,marketable_treasury_securities,liability
2,1945-10-01,Federal government; Treasury bills; liability,55192.0,federal_government,treasury_bills,liability
3,1945-10-01,Federal government; other marketable Treasury securities; liability,153047.0,federal_government,other_marketable_treasury_securities,liability
4,1945-10-01,Federal government; long-term marketable Treasury securities issued to the Civil Service Retirement Fund through the Federal Financing Bank; liability,0.0,federal_government,long-term_marketable_treasury_securities_issued_to_the_civil_service_retirement_fund_through_the_federal_financing_bank,liability
5,1945-10-01,Federal government; nonmarketable Treasury securities; liability,45838.0,federal_government,nonmarketable_treasury_securities,liability
6,1945-10-01,Federal government; U.S. savings securities; liability,42935.0,federal_government,u.s._savings_securities,liability
7,1945-10-01,State and local governments; State and local government series securities (SLGS); asset,0.0,state_and_local_governments,state_and_local_government_series_securities_(slgs),asset
8,1945-10-01,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan G Fund; asset,0.0,federal_government_defined_contribution_retirement_funds,treasury_securities_held_by_thrift_savings_plan_g_fund,asset
9,1945-10-01,Federal government defined benefit retirement funds; nonmarketable Treasury securities; asset,2903.0,federal_government_defined_benefit_retirement_funds,nonmarketable_treasury_securities,asset
10,1945-10-01,Other financial business; nonmarketable Treasury securities held by Federal Reserve credit facility LLCs; asset ,0.0,other_financial_business,nonmarketable_treasury_securities_held_by_federal_reserve_credit_facility_llcs,asset
11,1945-10-01,Federal government; other nonmarketable Treasury securities; liability,0.0,federal_government,other_nonmarketable_treasury_securities,liability
12,1945-10-01,All sectors; Treasury securities; asset,254077.0,all_sectors,treasury_securities,asset
13,1945-10-01,Households and nonprofit organizations; Treasury securities; asset,66517.0,households_and_nonprofit_organizations,treasury_securities,asset
14,1945-10-01,Z1/Z1/FL313161400.Q.1,42935.0,,,
15,1945-10-01,"Households and nonprofit organizations; Treasury securities, excluding U.S. savings securities; asset",23582.0,households_and_nonprofit_organizations,treasury_securities_excluding_u.s._savings_securities,asset
16,1945-10-01,Nonfinancial corporate business; Treasury securities; asset,18508.0,nonfinancial_corporate_business,treasury_securities,asset
17,1945-10-01,Nonfinancial noncorporate business; total U.S. government securities; asset,0.0,nonfinancial_noncorporate_business,total_u.s._government_securities,asset
18,1945-10-01,"State and local governments; Treasury securities, including SLGS; asset",5531.0,state_and_local_governments,treasury_securities_including_slgs,asset
19,1945-10-01,Z1/Z1/FL213061120.Q.1,0.0,,,
20,1945-10-01,"State and local governments; Treasury securities, excluding SLGS; asset",5531.0,state_and_local_governments,treasury_securities_excluding_slgs,asset
21,1945-10-01,Monetary authority; total Treasury securities; asset,24262.0,monetary_authority,total_treasury_securities,asset
22,1945-10-01,Monetary authority; Treasury bills; asset,21195.0,monetary_authority,treasury_bills,asset
