date,all_sectors,banks_in_u.s.-affiliated_areas,closed-end_funds,credit_unions,exchange-traded_funds,federal_government_retirement_funds,foreign_banking_offices_in_the_u.s.,government-sponsored_enterprises,holding_companies,households_and_nonprofit_organizations,issuers_of_asset-backed_securities,life_insurance_companies,monetary_authority,money_market_funds,mutual_funds,nonfinancial_corporate_business,nonfinancial_noncorporate_business,other_financial_business,private_pension_funds,property-casualty_insurance_companies,rest_of_the_world,security_brokers_and_dealers,state_and_local_government_employee_defined_benefit_retirement_funds,state_and_local_governments,u.s.-chartered_depository_institutions
1945-12-31,254.077,0.599,0.049,0.05,0.0,2.903,0.236,0.351,0.0,66.517,0.0,20.589,24.262,0.0,0.036,18.508,0.0,0.0,2.051,2.7,2.574,1.881,1.519,11.062,103.721
1946-03-31,,,,,,,,,,,,,,,,,,,,,,,,,
1946-06-30,,,,,,,,,,,,,,,,,,,,,,,,,
1946-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
1946-12-31,231.201,0.534,0.05,0.05,0.0,3.273,0.192,0.356,0.0,65.127,0.0,21.635,23.35,0.0,0.031,12.779,0.0,0.0,2.1,3.294,2.1,0.917,1.671,10.358,88.563
1947-03-31,,,,,,,,,,,,,,,,,,,,,,,,,
1947-06-30,,,,,,,,,,,,,,,,,,,,,,,,,
1947-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
1947-12-31,224.83,0.438,0.065,0.065,0.0,4.096,0.168,0.325,0.0,65.065,0.0,20.04,22.559,0.0,0.043,12.291,0.0,0.0,2.151,3.885,2.7,0.262,1.86,11.78,82.927
1948-03-31,,,,,,,,,,,,,,,,,,,,,,,,,
1948-06-30,,,,,,,,,,,,,,,,,,,,,,,,,
1948-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
1948-12-31,219.097,0.365,0.07,0.075,0.0,4.919,0.191,0.453,0.0,65.817,0.0,16.812,23.333,0.0,0.065,12.853,0.0,0.0,2.2,4.413,2.8,0.82,2.073,12.554,75.561
1949-03-31,,,,,,,,,,,,,,,,,,,,,,,,,
1949-06-30,,,,,,,,,,,,,,,,,,,,,,,,,
1949-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
1949-12-31,222.625,0.321,0.085,0.082,0.0,5.959,0.265,0.45,0.0,67.256,0.0,15.298,18.885,0.0,0.104,14.697,0.0,0.0,2.3,4.826,2.9,0.703,2.257,12.686,79.894
1950-03-31,,,,,,,,,,,,,,,,,,,,,,,,,
1950-06-30,,,,,,,,,,,,,,,,,,,,,,,,,
1950-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
1950-12-31,222.852,0.294,0.1,0.09,0.0,6.743,0.327,0.373,0.0,66.5,0.0,13.486,20.725,0.0,0.129,17.87,0.0,0.0,2.345,5.253,4.3,0.586,2.498,13.704,74.381
1951-03-31,,,,,,,,,,,,,,,,,,,,,,,,,
1951-06-30,,,,,,,,,,,,,,,,,,,,,,,,,
1951-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
1951-12-31,223.261,0.252,0.11,0.1,0.0,7.453,0.402,0.428,0.0,65.426,0.0,11.034,23.604,0.0,0.129,18.653,0.0,0.0,2.445,5.417,4.278,0.313,2.918,14.664,72.967
1952-03-31,221.993,0.252,0.113,0.102,0.0,7.552,0.433,0.565,0.0,66.245,0.0,10.818,22.228,0.0,0.137,17.862,0.0,0.0,2.487,5.445,4.186,0.191,3.07,15.36,72.627
1952-06-30,221.979,0.259,0.117,0.103,0.0,7.938,0.471,0.496,0.0,65.904,0.0,10.363,22.506,0.0,0.141,16.635,0.0,0.0,2.483,5.348,4.303,1.121,3.148,16.28,72.503
